title,point,hit,review,star,address,telephone,image
복싱타이거,4.2,"18,530",21,668,"서울특별시 강남구 강남대로156길 13 B1
지번 서울시 강남구 신사동 510-3 B1",02-540-2399,"https://mp-seoul-image-production-s3.mangoplate.com/1789241_1631753208375621.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
획,4.2,"10,481",8,422,"서울특별시 강남구 강남대로156길 31
지번 서울시 강남구 신사동 517-10",0507-1382-8332,"https://mp-seoul-image-production-s3.mangoplate.com/1743214_1638239238728447.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
작,4.2,"13,031",9,417,"서울특별시 강남구 논현로95길 14 1F
지번 서울시 강남구 역삼동 640-11 1F",02-501-2342,"https://mp-seoul-image-production-s3.mangoplate.com/585014_1536152409081440.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
장생건강원,4.1,"22,983",81,977,"서울특별시 강남구 강남대로124길 23
지번 서울시 강남구 논현동 145-12",070-7543-1077,"https://mp-seoul-image-production-s3.mangoplate.com/389883/449685_1600725704828_6115?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
르챔버,4.1,"188,590",97,"5,697","서울특별시 강남구 도산대로55길 42 B1
지번 서울시 강남구 청담동 83-4 B1",02-6337-2014,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/36223_1468173699979936.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
심퍼티쿠시,4.1,"16,930",20,601,"서울특별시 강남구 강남대로154길 16 1F 101호
지번 서울시 강남구 신사동 512-3 1F 101호",070-7661-2017,"https://mp-seoul-image-production-s3.mangoplate.com/26135_1608203299685982.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
커피 바 K,4.1,"38,293",57,984,"서울특별시 강남구 언주로 517
지번 서울시 강남구 역삼동 675-3",02-516-1970,"https://mp-seoul-image-production-s3.mangoplate.com/514/172778_1613801435628_81272?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인웍스,4.1,"22,833",11,687,"서울특별시 강남구 압구정로 165 압구정 현대백화점 본점 B1
지번 서울시 강남구 압구정동 429 압구정 현대백화점 본점 B1",02-3449-5490,"https://mp-seoul-image-production-s3.mangoplate.com/1379285_1587227447395381.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
봉쥬르와인살롱,4.1,"7,194",10,101,"서울특별시 강남구 강남대로122길 5 유창빌딩
지번 서울시 강남구 논현동 164-12 유창빌딩",02-547-2001,"https://mp-seoul-image-production-s3.mangoplate.com/398865/840737_1565130304248_435511?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인소셜,4.1,"3,547",7,178,"서울특별시 강남구 압구정로46길 71-1 2F
지번 서울시 강남구 신사동 648-23 2F",0507-1445-0604,"https://mp-seoul-image-production-s3.mangoplate.com/1296730_1647445260670511.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
